name,id,path
макулатура,1
бумага,2
картон,3
книги,4
журналы,5
газеты,6
втулки бумажные,7
бумажные пакеты,8
стекло,9
банки стеклянные,10
бутылки стеклянные,11
металл,12
алюминиевые банки,13
фольга,14
консервные банки,15
тетрапак,16
упаковки из-под сока,17
пэт,18
пластиковые бутылки,19
пластик 01,20
баклажки,21
канистры,22
пенопласт,23
подложки от мяса,24
пакеты,25
пленка пузырчатая,26
упаковка от круп,27
мешки сахарные,28
сумки хозяйственные,29
карты пластиковые,30
трубочки,31
батарейки,32
аккумуляторы,33
элетронника,34
техника,35
гаджеты,36
бытовая техника,37
катриджи от принтера,38
провода,39
